timestamp,home_id,energy_consumption_kWh,power_consumption_W,voltage,current,temperature_setting_C,occupancy_status,appliance,usage_duration_minutes,device_status,room_location,season,day_of_week,hour_of_day,holiday,peak_hour_flag,appliance_category,appliance_type,weather_condition,outside_temperature_C,humidity_percent,energy_cost_rs,carbon_emission_kg,waste_flag
2024-01-01 00:00:00,H115,0.03,100,220,0.45,22,Vacant,TV,15,ON,Hall,Winter,Monday,0,No,0,Low,Entertainment,Cold,18,70,0.21,0.02,1
2024-01-01 00:30:00,H080,0.15,200,220,0.91,24,Occupied,Fridge,45,OFF,Kitchen,Winter,Tuesday,0,No,0,Medium,Cooling,Cold,16,61,1.05,0.12,0
2024-01-01 01:00:00,H168,0.07,70,230,0.3,26,Vacant,Fan,60,ON,Dining Room,Winter,Wednesday,1,No,0,Low,Ventilation,Normal,12,53,0.49,0.06,1
2024-01-01 01:30:00,H091,0,40,220,0.18,20,Occupied,Light,0,OFF,Study Room,Winter,Thursday,1,No,0,Low,Lighting,Normal,20,60,0,0.0,0
2024-01-01 02:00:00,H020,0.25,1000,230,4.35,30,Occupied,Iron,15,ON,Hall,Winter,Friday,2,No,0,Medium,Clothing,Normal,14,78,1.75,0.2,0
2024-01-01 02:30:00,H141,0,1500,230,6.52,20,Occupied,AC,0,OFF,Study Room,Winter,Saturday,2,No,0,High,Cooling,Cold,14,84,0,0.0,0
2024-01-01 03:00:00,H011,1.5,2000,220,9.09,28,Occupied,Water Heater,45,ON,Kitchen,Winter,Sunday,3,No,0,High,Heating,Normal,14,61,10.5,1.23,0
2024-01-01 03:30:00,H090,0.5,1000,240,4.17,26,Occupied,Iron,30,ON,Dining Room,Winter,Monday,3,No,0,Medium,Clothing,Normal,16,52,3.5,0.41,0
2024-01-01 04:00:00,H172,0.15,150,220,0.68,26,Occupied,Computer,60,OFF,Bedroom,Winter,Tuesday,4,No,0,Low,Work,Cold,16,60,1.05,0.12,0
2024-01-01 04:30:00,H057,1.5,2000,220,9.09,28,Occupied,Water Heater,45,ON,Hall,Winter,Wednesday,4,No,0,High,Heating,Cold,16,80,10.5,1.23,0
2024-01-01 05:00:00,H118,1.0,1000,220,4.55,30,Occupied,Iron,60,ON,Dining Room,Winter,Thursday,5,No,0,Medium,Clothing,Cold,18,71,7.0,0.82,0
2024-01-01 05:30:00,H073,0.01,40,230,0.17,18,Occupied,Light,15,ON,Bedroom,Winter,Friday,5,No,0,Low,Lighting,Normal,14,42,0.07,0.01,0
2024-01-01 06:00:00,H181,2.0,2000,240,8.33,30,Occupied,Water Heater,60,ON,Study Room,Winter,Saturday,6,No,0,High,Heating,Cold,12,71,14.0,1.64,0
2024-01-01 06:30:00,H014,0.3,1200,230,5.22,22,Occupied,Microwave,15,ON,Study Room,Winter,Sunday,6,No,0,Medium,Cooking,Normal,12,77,2.1,0.25,0
2024-01-01 07:00:00,H023,0.75,,240,4.17,20,Occupied,Iron,45,ON,Study Room,Winter,Monday,7,No,0,Medium,Clothing,Normal,16,80,5.25,0.61,0
2024-01-01 07:30:00,H040,0.38,1500,240,6.25,28,Occupied,AC,15,ON,Dining Room,Winter,Tuesday,7,No,0,High,Cooling,Cold,18,64,2.66,0.31,0
2024-01-01 08:00:00,H150,0.9,1200,230,5.22,18,Occupied,Microwave,45,ON,Hall,Winter,Wednesday,8,No,0,Medium,Cooking,Normal,16,62,6.3,0.74,0
2024-01-01 08:30:00,H094,0.25,1000,220,4.55,26,Occupied,Iron,15,ON,Study Room,Winter,Thursday,8,No,0,Medium,Clothing,Cold,12,42,1.75,0.2,0
2024-01-01 09:00:00,H077,2.0,2000,240,8.33,20,Occupied,Water Heater,60,ON,Hall,Winter,Friday,9,No,0,High,Heating,Normal,20,64,14.0,1.64,0
2024-01-01 09:30:00,H093,1.0,2000,240,8.33,30,Occupied,Water Heater,30,ON,Hall,Winter,Saturday,9,No,0,High,Heating,Normal,14,73,7.0,0.82,0
2024-01-01 10:00:00,H134,0.02,40,220,0.18,26,Vacant,Light,30,ON,Bedroom,Winter,Sunday,10,Yes,0,Low,Lighting,Normal,14,81,0.14,0.02,1
2024-01-01 10:30:00,H034,1.5,2000,220,9.09,22,Vacant,Water Heater,45,ON,Dining Room,Winter,Monday,10,No,0,High,Heating,Cold,20,49,10.5,1.23,1
2024-01-01 11:00:00,H108,2.0,2000,220,9.09,24,Vacant,Water Heater,60,ON,Hall,Winter,Tuesday,11,No,0,High,Heating,Cold,14,48,14.0,1.64,1
2024-01-01 11:30:00,H199,2.0,1000,220,4.55,22,Occupied,Iron,120,ON,Dining Room,Winter,Wednesday,11,No,0,Medium,Clothing,Cold,16,77,14.0,1.64,0
2024-01-01 12:00:00,H092,0.25,500,230,2.17,24,Occupied,Washing Machine,30,ON,Hall,Winter,Thursday,12,No,0,Medium,Laundry,Cold,18,69,1.75,0.2,0
2024-01-01 12:30:00,H049,0.05,70,220,0.32,30,Occupied,Fan,45,ON,Study Room,Winter,Friday,12,No,0,Low,Ventilation,Normal,16,61,0.35,0.04,0
2024-01-01 13:00:00,H062,0.2,200,240,0.83,26,Occupied,Fridge,60,ON,Dining Room,Winter,Saturday,13,Yes,0,Medium,Cooling,Normal,20,58,1.4,0.16,0
2024-01-01 13:30:00,H168,0.1,100,240,0.42,28,Occupied,TV,60,ON,Hall,Winter,Sunday,13,Yes,0,Low,Entertainment,Cold,12,77,0.7,0.08,0
2024-01-01 14:00:00,H078,0.07,150,230,0.65,28,Occupied,Computer,30,ON,Kitchen,Winter,Monday,14,No,0,Low,Work,Normal,18,49,0.49,0.06,0
2024-01-01 14:30:00,H143,2.0,2000,240,8.33,24,Occupied,Water Heater,60,OFF,Study Room,Winter,Tuesday,14,No,0,High,Heating,Cold,14,40,14.0,1.64,0
2024-01-01 15:00:00,H096,0.38,500,220,2.27,26,Occupied,Washing Machine,45,ON,Hall,Winter,Wednesday,15,No,0,Medium,Laundry,Cold,20,43,2.66,0.31,0
2024-01-01 15:30:00,H067,1.5,1500,230,6.52,24,Occupied,AC,60,ON,Bedroom,Winter,Thursday,15,No,0,High,Cooling,Normal,12,43,10.5,1.23,0
